CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day,month,weekday,is_weekend,hour_sin,hour_cos,month_sin,month_cos,temp_humidity_interaction,lag1_CO(GT),lag1_NMHC(GT),lag1_C6H6(GT),lag1_NOx(GT),lag1_NO2(GT),lag1_T,lag1_RH,lag1_AH,target_aqi_category,datetime
2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,18,10,3,2,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,665.04,,,,,,,,,Poor,2004-03-10 18:00:00
2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19,10,3,2,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,634.4100000000001,2.6,150.0,11.9,166.0,113.0,13.6,48.9,0.7578,Poor,2004-03-10 19:00:00
2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20,10,3,2,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,642.6,2.0,112.0,9.4,103.0,92.0,13.3,47.7,0.7255,Very Poor,2004-03-10 20:00:00
2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21,10,3,2,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,660.0,2.2,88.0,9.0,131.0,114.0,11.9,54.0,0.7502,Poor,2004-03-10 21:00:00
1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22,10,3,2,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,667.52,2.2,80.0,9.2,172.0,122.0,11.0,60.0,0.7867,Moderate,2004-03-10 22:00:00
1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23,10,3,2,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,663.04,1.6,51.0,6.5,131.0,116.0,11.2,59.6,0.7888,Satisfactory,2004-03-10 23:00:00
1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,11,3,3,0,0.0,1.0,1.0,6.123233995736766e-17,641.84,1.2,38.0,4.7,89.0,96.0,11.2,59.2,0.7848,Satisfactory,2004-03-11 00:00:00
1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,11,3,3,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,642.0,1.2,31.0,3.6,62.0,77.0,11.3,56.8,0.7603,Good,2004-03-11 01:00:00
0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,11,3,3,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,638.79,1.0,31.0,3.3,62.0,76.0,10.7,60.0,0.7702,Good,2004-03-11 02:00:00
0.6,1010.0,19.0,1.7,561.0,,1705.0,,1235.0,501.0,10.3,60.2,0.7517,3,11,3,3,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,620.0600000000001,0.9,24.0,2.3,45.0,60.0,10.7,59.7,0.7648,Good,2004-03-11 03:00:00
,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,4,11,3,3,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,611.05,0.6,19.0,1.7,,,10.3,60.2,0.7517,Good,2004-03-11 04:00:00
0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,5,11,3,3,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,618.2,,14.0,1.3,21.0,34.0,10.1,60.5,0.7465,Good,2004-03-11 05:00:00
0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6,11,3,3,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,610.0500000000001,0.7,8.0,1.1,16.0,28.0,11.0,56.2,0.7366,Satisfactory,2004-03-11 06:00:00
1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7,11,3,3,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,607.92,0.7,16.0,1.6,34.0,48.0,10.5,58.1,0.7353,Poor,2004-03-11 07:00:00
2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8,11,3,3,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,619.9200000000001,1.1,29.0,3.2,98.0,82.0,10.2,59.6,0.7417,Poor,2004-03-11 08:00:00
2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9,11,3,3,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,636.3000000000001,2.0,64.0,8.0,174.0,112.0,10.8,57.4,0.7408,Moderate,2004-03-11 09:00:00
1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10,11,3,3,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,630.72,2.2,87.0,9.5,129.0,101.0,10.5,60.6,0.7691,Moderate,2004-03-11 10:00:00
1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11,11,3,3,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,607.9499999999999,1.7,77.0,6.3,112.0,98.0,10.8,58.4,0.7552,Moderate,2004-03-11 11:00:00
1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12,11,3,3,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,634.6,1.5,43.0,5.0,95.0,92.0,10.5,57.9,0.7352,Poor,2004-03-11 12:00:00
1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,11,3,3,0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,634.1200000000001,1.6,61.0,5.2,104.0,95.0,9.5,66.8,0.7951,Very Poor,2004-03-11 13:00:00
2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,11,3,3,0,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,648.8,1.9,63.0,7.3,146.0,112.0,8.3,76.4,0.8393,Poor,2004-03-11 14:00:00
